Pipeline,Mode,Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
pipeline1_alamsabi,user_intent_only,SVM,0.591,0.6296248382923674,0.6427874387755101,0.6433986901097479,213.08223032951355,0.449554443359375,14000,OPENAI,0.0321110316685267
pipeline1_alamsabi,user_intent_only,SVM,0.5503571428571429,0.5904092654043854,0.5749455816326531,0.571196581608258,15.143203258514404,0.1278283596038818,14000,MINILM,0.0091305971145629
pipeline3_organic_injected,user_intent_only,SVM,0.505,0.5117655347329858,0.5060532857142856,0.5048787084044468,7.650475740432739,0.084022045135498,14000,MINILM,0.0060015746525355
pipeline3_organic_injected,user_intent_only,LightGBM,0.5018571428571429,0.5097019122609674,0.5046884183673469,0.5019396049991574,8.187385320663452,0.0937671661376953,14000,QWEN3,0.006697654724121
pipeline3_organic_injected,user_intent_only,LogisticRegression,0.5017857142857143,0.5130210151504573,0.5030174897959184,0.5022756478821235,10.418513059616089,0.0870516300201416,14000,OPENAI,0.0062179735728672
pipeline3_organic_injected,user_intent_only,XGBoost,0.503,0.5054023315325562,0.5020088265306123,0.5013387944338421,14.387357950210571,0.0914640426635742,14000,QWEN3,0.006533145904541
pipeline3_organic_injected,user_intent_only,RandomForest,0.5005714285714286,0.4938468220645722,0.5016154183673469,0.4988535341561141,9.239536046981812,0.1897709369659423,14000,QWEN3,0.0135550669261387
pipeline3_organic_injected,user_intent_only,RandomForest,0.5008571428571429,0.5003575003575004,0.5013207244897959,0.499496518706821,6.848780632019043,0.0738613605499267,14000,OPENAI,0.0052758114678519
pipeline3_organic_injected,user_intent_only,SVM,0.4987142857142857,0.5090934527140459,0.4972544897959183,0.4998881321482529,146.26707291603088,1.6855072975158691,14000,QWEN3,0.1203933783939906
pipeline3_organic_injected,user_intent_only,SVM,0.4980714285714285,0.5043380122734006,0.4972358469387755,0.4993375612498789,55.98235630989075,0.4859023094177246,14000,OPENAI,0.0347073078155517
pipeline3_organic_injected,user_intent_only,LightGBM,0.4967857142857143,0.5064107055279199,0.4969076326530612,0.4945594436022067,1.2821776866912842,0.0042014122009277,14000,MINILM,0.0003001008714948
pipeline3_organic_injected,user_intent_only,LogisticRegression,0.4977142857142857,0.5083892617449665,0.4967156326530612,0.4997389594361721,29.94000649452209,0.6598894596099854,14000,QWEN3,0.0471349614007132
pipeline3_organic_injected,user_intent_only,XGBoost,0.4967142857142857,0.5215915263443781,0.495096081632653,0.4965571169829491,6.906205415725708,0.0046188831329345,14000,OPENAI,0.000329920223781
pipeline3_organic_injected,user_intent_only,LogisticRegression,0.4963571428571428,0.5026451294350004,0.4950682346938775,0.4966128250496793,1.282470464706421,0.0237259864807128,14000,MINILM,0.0016947133200509
